鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華榮路211~240號,11.51,商,,,1070909,土地1建物1車位1,十七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790420,171.18,3,2,2,有,有,8700000,50824,坡道平面,0,0,車位使用執照,RPUOMLTLIINFFAE68CA
鹽埕區,房地(土地+建物),高雄市鹽埕區大勇路21巷1~30號,24,商,,,1070903,土地1建物1車位0,全,二層,透天厝,,加強磚造,550628,44.49,3,1,2,有,無,2400000,53945,,0,0,,RPPOMLRKIINFFAE87CA
鼓山區,房地(土地+建物),高雄市鼓山區明倫路121~150號,23.94,住,,,1070729,土地1建物1車位0,一層，二層，騎樓，夾層,十三層,店面(店鋪),住商用,鋼筋混凝土造,851120,145.4,2,2,2,有,有,17150000,117950,,0,0,含增建或未登記建物。,RPSNMLQJIINFFAE87CA
前金區,房地(土地+建物),高雄市前金區文武一街31~60號,3.24,商,,,1070821,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,790517,26.59,1,1,1,有,有,900000,33847,,0,0,,RPQNMLPJIINFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路91~120號,4.89,商,,,1070824,土地1建物1車位0,十層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,800810,63.14,1,1,1,有,有,2450000,38803,,0,0,,RPTNMLPJIINFFAE87CA
前金區,房地(土地+建物),高雄市前金區文武一街31~60號,4.27,商,,,1070821,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,790517,34.63,1,1,1,有,有,1200000,34652,,0,0,,RPVNMLPJIINFFAE08CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路91~120號,4.48,住,,,1070826,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800810,55.51,1,1,1,有,有,2280000,41074,,0,0,,RPXNMLPJIINFFAE28CA
苓雅區,房地(土地+建物),高雄市苓雅區漢昌街58巷1~30號,30,住,,,1070828,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,600730,66.77,2,1,2,有,無,2350000,35195,,0,0,,RPTNMLQLIINFFBE28CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區永豐路181~210號,9.8,商,,,1070902,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1061211,106.26,2,1,1,有,有,5700000,58184,坡道平面,27.2,1100000,,RPQPMLSJIINFFCE28CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區永豐路151~180號,14.9,商,,,1070822,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1061211,158.06,3,2,2,有,有,8500000,57650,坡道平面,29.7,1100000,,RPWOMLSJIINFFCE78CA
