CODE2,CODE1,CODEBASE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
A6402-21,A6402-21-003,A6402-0209-00,85.37,2.62,25371.8,46.15,26.92,19.23,71.43,107Y12M
A6402-21,A6402-21-003,A6402-0222-00,90.32,2.81,13704.63,84.38,53.13,31.25,58.82,107Y12M
A6402-21,A6402-21-004,A6402-0191-00,91.18,2.89,11770.09,54.76,32.14,22.62,70.37,107Y12M
A6402-21,A6402-21-004,A6402-0198-00,138.46,2.21,8294.64,63.16,36.84,26.32,71.43,107Y12M
A6402-21,A6402-21-004,A6402-0208-00,75.49,2.59,78363.75,33.58,24.63,8.96,36.36,107Y12M
A6402-21,A6402-21-004,A6402-0221-00,80.26,2.32,22061,67.07,47.56,19.51,41.03,107Y12M
A6402-21,A6402-21-005,A6402-0217-00,105.26,2.47,23065.13,37.32,15.49,21.83,140.91,107Y12M
A6402-21,A6402-21-006,A6402-0218-00,88.4,2.71,25740.73,55,31.82,23.18,72.86,107Y12M
A6402-21,A6402-21-007,A6402-0236-00,99.28,2.39,14541.78,49.73,35.14,14.59,41.54,107Y12M
A6402-21,A6402-21-007,A6402-0248-00,89.89,2.01,15345.95,41.39,32.87,8.51,25.9,107Y12M
A6402-22,A6402-22-001,A6402-0177-00,100.74,2.77,21044.18,45.7,11.83,33.87,286.36,107Y12M
A6402-22,A6402-22-001,A6402-0188-00,85.71,2.24,12545.52,38.3,23.4,14.89,63.64,107Y12M
A6402-22,A6402-22-002,A6402-0211-00,89.47,2.51,16720.01,35,12.5,22.5,180,107Y12M
A6402-22,A6402-22-003,A6402-0223-00,136.21,2.14,10928.96,47.31,8.6,38.71,450,107Y12M
A6402-22,A6402-22-003,A6402-0235-00,111.54,1.9,7330.35,66.67,9.09,57.58,633.33,107Y12M
A6402-22,A6402-22-003,A6402-0242-00,110,2.58,15303.05,43.59,15.38,28.21,183.33,107Y12M
A6402-22,A6402-22-004,A6402-0225-00,129.03,2.45,12842.89,33.96,3.77,30.19,800,107Y12M
A6402-22,A6402-22-004,A6402-0228-00,100,2.57,12808.44,45.16,9.68,35.48,366.67,107Y12M
